zip,n_registrations,pct_destroyed,pct_sba_approved,pct_flood_damage,pct_foundation_damage,pct_roof_damage,pct_flood_insured,mean_water_depth_m,median_water_depth_m,mean_flood_damage_amt,mean_ihp_amount,total_ihp_amount
77013,243,0.0,0.07818930041152264,0.5802469135802469,0.00411522633744856,0.0411522633744856,0.5061728395061729,0.3178658436213992,0.15239999999999998,10155.208024691357,5183.267242798353,1259533.94
77014,279,0.0,0.02867383512544803,0.017921146953405017,0.010752688172043012,0.06810035842293907,0.15412186379928317,0.0037326164874551967,0.0,10.879641577060932,144.6590681003584,40359.88
77015,500,0.0,0.048,0.318,0.014,0.076,0.296,0.1619504,0.0,4595.37098,2294.53868,1147269.34
77016,418,0.0,0.04066985645933014,0.2703349282296651,0.01674641148325359,0.0861244019138756,0.2942583732057416,0.04812631578947368,0.0,1816.3867942583734,1317.1810287081341,550581.67
77017,238,0.0,0.0546218487394958,0.36554621848739494,0.025210084033613446,0.09243697478991597,0.1638655462184874,0.04578403361344537,0.0,1985.984369747899,1629.8961344537815,387915.28
77018,117,0.0,0.06837606837606838,0.3076923076923077,0.0,0.042735042735042736,0.47863247863247865,0.048846153846153845,0.0,2285.9423076923076,884.1917094017093,103450.43
77019,72,0.0,0.013888888888888888,0.08333333333333333,0.0,0.013888888888888888,0.4027777777777778,0.08290277777777778,0.0,1161.3730555555555,738.18,53148.96
77020,166,0.0,0.03614457831325301,0.3132530120481928,0.006024096385542169,0.12048192771084337,0.13855421686746988,0.10435421686746986,0.0,3697.3564457831326,3005.0022289156627,498830.37
77021,254,0.0,0.023622047244094488,0.16141732283464566,0.003937007874015748,0.07480314960629922,0.25196850393700787,0.028099999999999997,0.0,971.1715748031496,1031.9670078740157,262119.62
77022,179,0.0,0.027932960893854747,0.37988826815642457,0.0335195530726257,0.07262569832402235,0.3743016759776536,0.08215977653631285,0.0,2525.457430167598,1261.3907262569833,225788.94
77023,95,0.0,0.05263157894736842,0.12631578947368421,0.031578947368421054,0.06315789473684211,0.17894736842105263,0.0254,0.0,439.4038947368421,265.2032631578947,25194.309999999998
77024,486,0.0,0.12139917695473251,0.6152263374485597,0.0102880658436214,0.01440329218106996,0.49794238683127573,0.4148666666666666,0.3302,13199.932510288067,7789.982119341564,3785931.31
77025,411,0.0,0.0948905109489051,0.6447688564476886,0.0072992700729927005,0.024330900243309004,0.7931873479318735,0.2935523114355231,0.17779999999999999,11927.76708029197,2996.5936253041364,1231599.98
77026,233,0.0,0.04291845493562232,0.38197424892703863,0.055793991416309016,0.12875536480686695,0.39914163090128757,0.11544463519313304,0.0,3167.0401287553645,2073.4545064377685,483114.9
77027,53,0.0,0.018867924528301886,0.20754716981132076,0.0,0.018867924528301886,0.4339622641509434,0.38435471698113205,0.0,1449.213962264151,1389.7350943396225,73655.95999999999
77028,429,0.0,0.046620046620046623,0.6223776223776224,0.02097902097902098,0.10722610722610723,0.2634032634032634,0.2627034965034965,0.15239999999999998,9410.518414918415,7442.437645687645,3192805.75
77029,223,0.0,0.03139013452914798,0.4349775784753363,0.04035874439461883,0.09865470852017937,0.21973094170403587,0.09328520179372196,0.0,3372.126591928251,2585.09730941704,576476.7
77030,50,0.0,0.04,0.26,0.0,0.0,0.7,0.10464799999999999,0.0,2218.4482000000003,693.8,34690.0
77031,133,0.0,0.03759398496240601,0.12781954887218044,0.007518796992481203,0.045112781954887216,0.22556390977443608,0.009739849624060149,0.0,580.6869172932331,306.3915037593985,40750.07
77032,131,0.0,0.015267175572519083,0.6412213740458015,0.030534351145038167,0.030534351145038167,0.6335877862595419,0.33136335877862594,0.254,8223.0706870229,3060.7505343511452,400958.32
77033,350,0.0,0.022857142857142857,0.20285714285714285,0.008571428571428572,0.11428571428571428,0.28,0.027649714285714288,0.0,879.775457142857,692.9266,242524.31
77034,713,0.0,0.04628330995792426,0.6437587657784011,0.008415147265077139,0.04207573632538569,0.42496493688639553,0.1910165497896213,0.1016,8104.754347826087,4328.661486676017,3086335.64
77035,347,0.0,0.08645533141210375,0.5677233429394812,0.005763688760806916,0.023054755043227664,0.6195965417867435,0.1982956772334294,0.1016,9685.159740634006,2585.435619596542,897146.16
77036,97,0.0,0.030927835051546393,0.09278350515463918,0.010309278350515464,0.061855670103092786,0.30927835051546393,0.0028804123711340204,0.0,55.42618556701031,232.1180412371134,22515.45
77037,377,0.0,0.023872679045092837,0.6976127320954907,0.0,0.03713527851458886,0.6074270557029178,0.23675225464190983,0.17779999999999999,8806.19151193634,3528.667931034483,1330307.81
77038,231,0.0,0.012987012987012988,0.2813852813852814,0.004329004329004329,0.06060606060606061,0.3852813852813853,0.07883896103896104,0.0,2734.5930303030304,1698.0822943722944,392257.01
77039,493,0.0,0.038539553752535496,0.744421906693712,0.004056795131845842,0.056795131845841784,0.43204868154158216,0.1803760649087221,0.15239999999999998,8481.126206896552,4562.135395537525,2249132.75
77040,249,0.0,0.024096385542168676,0.17670682730923695,0.0,0.01606425702811245,0.46987951807228917,0.03876305220883534,0.0,1452.8281526104417,651.8139357429719,162301.67
77041,616,0.0,0.09902597402597403,0.4805194805194805,0.016233766233766232,0.037337662337662336,0.2532467532467532,0.1561935064935065,0.0,8607.039691558442,6705.885665584416,4130825.57
77042,371,0.0,0.08086253369272237,0.4797843665768194,0.0,0.008086253369272238,0.5525606469002695,0.27323827493261454,0.0,11634.554393530996,5494.545849056603,2038476.51
77043,109,0.0,0.045871559633027525,0.22018348623853212,0.009174311926605505,0.03669724770642202,0.3944954128440367,0.02283669724770642,0.0,1768.8738532110092,1205.0329357798164,131348.59
77044,1141,0.0008764241893076249,0.05521472392638037,0.4662576687116564,0.011393514460999123,0.03943908851884312,0.1656441717791411,0.16243978965819456,0.0,6400.357563540754,5498.567186678352,6273865.16
77045,325,0.0,0.04,0.08307692307692308,0.006153846153846154,0.08307692307692308,0.25846153846153846,0.006877538461538461,0.0,295.95806153846155,345.8733230769231,112408.83
77047,658,0.0,0.02735562310030395,0.13677811550151975,0.0060790273556231,0.07750759878419453,0.20972644376899696,0.025708814589665653,0.0,1076.2562613981763,995.7689361702127,655215.96
77048,271,0.0,0.025830258302583026,0.08118081180811808,0.0036900369003690036,0.07749077490774908,0.1992619926199262,0.008904059040590405,0.0,234.72435424354245,280.5264206642067,76022.66
77049,677,0.0014771048744460858,0.047267355982274745,0.3663220088626292,0.0103397341211226,0.04431314623338257,0.21861152141802068,0.1748735598227474,0.0,4994.972451994092,4067.1876514032497,2753486.04
77050,66,0.0,0.06060606060606061,0.45454545454545453,0.015151515151515152,0.09090909090909091,0.4696969696969697,0.22244242424242422,0.0,8364.896212121212,1979.8160606060605,130667.86
77051,179,0.0,0.0111731843575419,0.13966480446927373,0.01675977653631285,0.0782122905027933,0.1787709497206704,0.014473743016759775,0.0,710.704748603352,761.1526256983241,136246.32
77053,339,0.0,0.035398230088495575,0.09734513274336283,0.008849557522123894,0.0943952802359882,0.15339233038348082,0.008241887905604718,0.0,186.873598820059,373.0016519174041,126447.56
77054,71,0.0,0.0,0.028169014084507043,0.014084507042253521,0.0,0.6338028169014085,0.005008450704225352,0.0,14.428591549295776,154.67704225352114,10982.07
77055,77,0.0,0.025974025974025976,0.12987012987012986,0.012987012987012988,0.06493506493506493,0.38961038961038963,0.007916883116883116,0.0,386.22623376623375,229.81974025974026,17696.12
77056,109,0.0,0.045871559633027525,0.44954128440366975,0.009174311926605505,0.01834862385321101,0.6330275229357798,0.42644036697247706,0.0,9870.977981651376,3143.992201834862,342695.14999999997
77057,109,0.0,0.027522935779816515,0.1743119266055046,0.0,0.0,0.5412844036697247,0.12816513761467888,0.0,4248.867889908257,1955.2990825688073,213127.6
77058,107,0.0,0.037383177570093455,0.2897196261682243,0.0,0.0,0.7570093457943925,0.15358691588785045,0.0,3158.7671028037385,909.4511214953271,97311.27
77059,122,0.0,0.08196721311475409,0.27049180327868855,0.00819672131147541,0.03278688524590164,0.47540983606557374,0.05579672131147541,0.0,4325.561229508196,1822.6522131147542,222363.57
77060,177,0.0,0.02824858757062147,0.3954802259887006,0.011299435028248588,0.06779661016949153,0.3785310734463277,0.08452316384180791,0.0,2760.1750282485873,1907.7318079096046,337668.53
77061,167,0.0,0.0658682634730539,0.31736526946107785,0.017964071856287425,0.07784431137724551,0.281437125748503,0.05505868263473053,0.0,2592.9001796407188,1568.051616766467,261864.62
77062,191,0.0,0.05235602094240838,0.2513089005235602,0.010471204188481676,0.05235602094240838,0.39790575916230364,0.02340523560209424,0.0,1754.9767539267016,702.0894240837696,134099.08
77063,246,0.0,0.036585365853658534,0.4105691056910569,0.0,0.0040650406504065045,0.5365853658536586,0.1569430894308943,0.0,6512.997276422764,3600.2221951219512,885654.66
77064,212,0.0,0.018867924528301886,0.0330188679245283,0.0047169811320754715,0.07547169811320754,0.2641509433962264,0.0016773584905660375,0.0,78.17688679245283,239.71915094339622,50820.46
77065,192,0.0,0.036458333333333336,0.3125,0.005208333333333333,0.046875,0.2864583333333333,0.046698958333333325,0.0,3787.379010416667,2616.1622916666665,502303.16
77066,311,0.0,0.022508038585209004,0.06430868167202572,0.00964630225080386,0.05787781350482315,0.2765273311897106,0.005553697749196141,0.0,273.81398713826366,336.2694533762058,104579.8
77067,210,0.0,0.02857142857142857,0.06190476190476191,0.004761904761904762,0.07142857142857142,0.1761904761904762,0.01149047619047619,0.0,213.36233333333334,290.6674285714286,61040.16
77068,175,0.0,0.10285714285714286,0.45714285714285713,0.005714285714285714,0.05142857142857143,0.41714285714285715,0.3461657142857143,0.0,12918.039085714285,4798.168171428571,839679.43
77069,126,0.0,0.031746031746031744,0.4523809523809524,0.0,0.047619047619047616,0.5476190476190477,0.36628412698412693,0.0,12998.531746031746,3006.2001587301584,378781.22
77070,581,0.0,0.14802065404475043,0.6161790017211703,0.0034423407917383822,0.0189328743545611,0.4079173838209983,0.2507648881239243,0.15239999999999998,10848.699793459553,6079.708141135973,3532310.43
77071,343,0.0,0.03206997084548105,0.1661807580174927,0.026239067055393587,0.0728862973760933,0.2944606413994169,0.06709154518950437,0.0,1793.6086588921282,495.7527988338192,170043.21
77072,342,0.0,0.011695906432748537,0.12573099415204678,0.0,0.07602339181286549,0.4298245614035088,0.013294152046783626,0.0,507.2934210526316,361.38423976608186,123593.41
77073,467,0.0,0.055674518201284794,0.21841541755888652,0.0,0.044967880085653104,0.1905781584582441,0.13526723768736615,0.0,3683.6215203426123,3062.304475374732,1430096.19
77074,403,0.0,0.02977667493796526,0.6724565756823822,0.004962779156327543,0.034739454094292806,0.7022332506203474,0.27839156327543424,0.2032,10314.818957816376,2834.235781637717,1142197.02
77075,621,0.0,0.04830917874396135,0.41867954911433175,0.00966183574879227,0.05475040257648953,0.24798711755233493,0.1098621578099839,0.0,4662.784541062802,3448.404959742351,2141459.48
77076,119,0.0,0.05042016806722689,0.3025210084033613,0.008403361344537815,0.06722689075630252,0.17647058823529413,0.05570924369747899,0.0,2027.1924369747899,1513.6195798319327,180120.72999999998
77077,620,0.0,0.07258064516129033,0.35,0.016129032258064516,0.03225806451612903,0.4967741935483871,0.17612032258064514,0.0,6482.618161290322,3463.1980322580644,2147182.78
77078,387,0.0,0.05426356589147287,0.6201550387596899,0.007751937984496124,0.025839793281653745,0.2842377260981912,0.37496175710594315,0.2286,11445.489819121445,8734.715633074937,3380334.95
